company,complaints,relief_cases,relief_rate_pct
"EQUIFAX, INC.",555474,3,0.0
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",537257,4,0.0
Experian Information Solutions Inc.,510422,131,0.0
"Block, Inc.",45056,57,0.1
CAPITAL ONE FINANCIAL CORPORATION,34542,2023,5.9
JPMORGAN CHASE & CO.,29086,2289,7.9
WELLS FARGO & COMPANY,23230,2385,10.3
"BANK OF AMERICA, NATIONAL ASSOCIATION",22529,6790,30.1
"CITIBANK, N.A.",22393,5048,22.5
"Early Warning Services, LLC",19301,0,0.0
Resurgent Capital Services L.P.,16281,0,0.0
NAVY FEDERAL CREDIT UNION,16280,1094,6.7
SYNCHRONY FINANCIAL,15478,2145,13.9
AMERICAN EXPRESS COMPANY,12360,2591,21.0
Chime Financial Inc,12155,852,7.0
ENCORE CAPITAL GROUP INC.,12032,5,0.0
MOHELA,11717,105,0.9
"Paypal Holdings, Inc",11504,1701,14.8
CL Holdings LLC,11493,0,0.0
"Portfolio Recovery Associates, LLC",10353,0,0.0
