state,complaints,pct_of_total,relief_rate_pct
TX,334076,14.43,1.1
FL,284176,12.27,1.3
CA,228086,9.85,2.8
GA,180549,7.8,0.9
NY,130748,5.65,2.5
IL,112857,4.87,1.3
NC,89507,3.87,1.4
PA,81385,3.51,1.8
NJ,72430,3.13,2.2
SC,55948,2.42,1.0
MD,55603,2.4,1.7
MI,54673,2.36,1.8
VA,52740,2.28,2.1
OH,50627,2.19,2.1
LA,49530,2.14,0.7
AL,43409,1.87,0.8
AZ,40411,1.75,2.3
TN,36000,1.55,1.8
NV,30081,1.3,2.0
MO,29164,1.26,1.7
IN,28623,1.24,1.8
MA,27685,1.2,3.5
MS,24322,1.05,0.7
WA,19960,0.86,5.0
CO,17672,0.76,4.3
CT,16834,0.73,3.1
AR,15788,0.68,1.2
WI,15514,0.67,2.2
MN,13450,0.58,3.3
KY,12146,0.52,2.6
OK,11442,0.49,2.4
DE,10877,0.47,1.7
OR,8963,0.39,4.9
DC,8455,0.37,2.4
UT,7453,0.32,3.5
KS,6262,0.27,2.8
NM,5537,0.24,2.9
RI,5389,0.23,2.6
IA,5366,0.23,3.0
NE,5289,0.23,1.9
PR,3976,0.17,1.2
HI,3975,0.17,3.6
WV,3425,0.15,3.8
NH,3036,0.13,5.0
ID,2899,0.13,5.0
ME,1841,0.08,6.0
AK,1605,0.07,4.0
MT,1421,0.06,5.3
ND,1385,0.06,2.7
WY,1085,0.05,2.8
SD,1061,0.05,4.2
VT,823,0.04,5.8
VI,727,0.03,0.6
AE,415,0.02,4.3
UNITED STATES MINOR OUTLYING ISLANDS,251,0.01,1.6
AP,204,0.01,8.8
