product,complaints,relief_cases,relief_rate_pct
Credit reporting or other personal consumer reports,1661995,1038,0.1
Debt collection,221546,615,0.3
Checking or savings account,110183,13922,12.6
Credit card,108718,17841,16.4
"Money transfer, virtual currency, or money service",87448,3295,3.8
Mortgage,37718,739,2.0
Vehicle loan or lease,27161,711,2.6
Student loan,26508,160,0.6
"Payday loan, title loan, personal loan, or advance loan",18579,650,3.5
Prepaid card,10199,2017,19.8
Debt or credit management,5546,201,3.6
