issue,ym,complaints,rolling_3mo
Attempts to collect debt not owed,2023-09,1214,1214.0
Attempts to collect debt not owed,2023-10,1438,1326.0
Attempts to collect debt not owed,2023-11,1182,1278.0
Attempts to collect debt not owed,2023-12,1343,1321.0
Attempts to collect debt not owed,2024-01,1785,1436.7
Attempts to collect debt not owed,2024-02,1926,1684.7
Attempts to collect debt not owed,2024-03,2942,2217.7
Attempts to collect debt not owed,2024-04,2977,2615.0
Attempts to collect debt not owed,2024-05,2907,2942.0
Attempts to collect debt not owed,2024-06,2533,2805.7
Attempts to collect debt not owed,2024-07,2608,2682.7
Attempts to collect debt not owed,2024-08,3042,2727.7
Attempts to collect debt not owed,2024-09,2670,2773.3
Attempts to collect debt not owed,2024-10,3105,2939.0
Attempts to collect debt not owed,2024-11,2502,2759.0
Attempts to collect debt not owed,2024-12,3041,2882.7
Attempts to collect debt not owed,2025-01,4337,3293.3
Attempts to collect debt not owed,2025-02,3389,3589.0
Attempts to collect debt not owed,2025-03,3664,3796.7
Attempts to collect debt not owed,2025-04,3985,3679.3
Attempts to collect debt not owed,2025-05,3868,3839.0
Attempts to collect debt not owed,2025-06,3833,3895.3
Attempts to collect debt not owed,2025-07,4461,4054.0
Attempts to collect debt not owed,2025-08,5036,4443.3
Attempts to collect debt not owed,2025-09,4422,4639.7
Attempts to collect debt not owed,2025-10,2850,4102.7
Attempts to collect debt not owed,2025-11,3395,3555.7
Attempts to collect debt not owed,2025-12,2531,2925.3
Attempts to collect debt not owed,2026-01,3392,3106.0
Attempts to collect debt not owed,2026-02,2353,2758.7
Attempts to collect debt not owed,2026-03,4830,3525.0
Attempts to collect debt not owed,2026-04,3335,3506.0
Attempts to collect debt not owed,2026-05,2914,3693.0
Attempts to collect debt not owed,2026-06,2287,2845.3
Attempts to collect debt not owed,2026-07,804,2001.7
Improper use of your report,2023-09,8809,8809.0
Improper use of your report,2023-10,9537,9173.0
Improper use of your report,2023-11,8486,8944.0
Improper use of your report,2023-12,9359,9127.3
Improper use of your report,2024-01,10155,9333.3
Improper use of your report,2024-02,11017,10177.0
Improper use of your report,2024-03,12409,11193.7
Improper use of your report,2024-04,14500,12642.0
Improper use of your report,2024-05,15724,14211.0
Improper use of your report,2024-06,15078,15100.7
Improper use of your report,2024-07,16463,15755.0
Improper use of your report,2024-08,17251,16264.0
Improper use of your report,2024-09,15730,16481.3
Improper use of your report,2024-10,16017,16332.7
Improper use of your report,2024-11,14781,15509.3
Improper use of your report,2024-12,17480,16092.7
Improper use of your report,2025-01,22796,18352.3
Improper use of your report,2025-02,17957,19411.0
Improper use of your report,2025-03,20234,20329.0
Improper use of your report,2025-04,20247,19479.3
Improper use of your report,2025-05,25948,22143.0
Improper use of your report,2025-06,33899,26698.0
Improper use of your report,2025-07,30845,30230.7
Improper use of your report,2025-08,25534,30092.7
Improper use of your report,2025-09,18340,24906.3
Improper use of your report,2025-10,17673,20515.7
Improper use of your report,2025-11,16832,17615.0
Improper use of your report,2025-12,11455,15320.0
Improper use of your report,2026-01,288,9525.0
Improper use of your report,2026-02,204,3982.3
Improper use of your report,2026-03,283,258.3
Improper use of your report,2026-04,292,259.7
Improper use of your report,2026-05,236,270.3
Improper use of your report,2026-06,251,259.7
Improper use of your report,2026-07,102,196.3
Incorrect information on your report,2023-09,11173,11173.0
Incorrect information on your report,2023-10,12938,12055.5
Incorrect information on your report,2023-11,11337,11816.0
Incorrect information on your report,2023-12,12544,12273.0
Incorrect information on your report,2024-01,13631,12504.0
Incorrect information on your report,2024-02,16067,14080.7
Incorrect information on your report,2024-03,19646,16448.0
Incorrect information on your report,2024-04,20847,18853.3
Incorrect information on your report,2024-05,25006,21833.0
Incorrect information on your report,2024-06,26820,24224.3
Incorrect information on your report,2024-07,28554,26793.3
Incorrect information on your report,2024-08,28728,28034.0
Incorrect information on your report,2024-09,30480,29254.0
Incorrect information on your report,2024-10,32016,30408.0
Incorrect information on your report,2024-11,31501,31332.3
Incorrect information on your report,2024-12,34888,32801.7
Incorrect information on your report,2025-01,47681,38023.3
Incorrect information on your report,2025-02,36009,39526.0
Incorrect information on your report,2025-03,47959,43883.0
Incorrect information on your report,2025-04,49130,44366.0
Incorrect information on your report,2025-05,44669,47252.7
Incorrect information on your report,2025-06,43064,45621.0
Incorrect information on your report,2025-07,53118,46950.3
Incorrect information on your report,2025-08,44586,46922.7
Incorrect information on your report,2025-09,30638,42780.7
Incorrect information on your report,2025-10,29433,34885.7
Incorrect information on your report,2025-11,31258,30443.0
Incorrect information on your report,2025-12,20794,27161.7
Incorrect information on your report,2026-01,853,17635.0
Incorrect information on your report,2026-02,460,7369.0
Incorrect information on your report,2026-03,832,715.0
Incorrect information on your report,2026-04,809,700.3
Incorrect information on your report,2026-05,668,769.7
Incorrect information on your report,2026-06,586,687.7
Incorrect information on your report,2026-07,254,502.7
Managing an account,2023-09,1117,1117.0
Managing an account,2023-10,1179,1148.0
Managing an account,2023-11,1167,1154.3
Managing an account,2023-12,1188,1178.0
Managing an account,2024-01,1204,1186.3
Managing an account,2024-02,1139,1177.0
Managing an account,2024-03,1349,1230.7
Managing an account,2024-04,1314,1267.3
Managing an account,2024-05,1428,1363.7
Managing an account,2024-06,1252,1331.3
Managing an account,2024-07,1409,1363.0
Managing an account,2024-08,1467,1376.0
Managing an account,2024-09,1356,1410.7
Managing an account,2024-10,1538,1453.7
Managing an account,2024-11,1448,1447.3
Managing an account,2024-12,1505,1497.0
Managing an account,2025-01,5791,2914.7
Managing an account,2025-02,1616,2970.7
Managing an account,2025-03,1612,3006.3
Managing an account,2025-04,1728,1652.0
Managing an account,2025-05,1782,1707.3
Managing an account,2025-06,1831,1780.3
Managing an account,2025-07,2191,1934.7
Managing an account,2025-08,2233,2085.0
Managing an account,2025-09,1930,2118.0
Managing an account,2025-10,1953,2038.7
Managing an account,2025-11,1982,1955.0
Managing an account,2025-12,1854,1929.7
Managing an account,2026-01,2146,1994.0
Managing an account,2026-02,1066,1688.7
Managing an account,2026-03,2004,1738.7
Managing an account,2026-04,2134,1734.7
Managing an account,2026-05,1735,1957.7
Managing an account,2026-06,1853,1907.3
Managing an account,2026-07,801,1463.0
Problem with a company's investigation into an existing problem,2023-09,8370,8370.0
Problem with a company's investigation into an existing problem,2023-10,8805,8587.5
Problem with a company's investigation into an existing problem,2023-11,7331,8168.7
Problem with a company's investigation into an existing problem,2023-12,6855,7663.7
Problem with a company's investigation into an existing problem,2024-01,6924,7036.7
Problem with a company's investigation into an existing problem,2024-02,7947,7242.0
Problem with a company's investigation into an existing problem,2024-03,12526,9132.3
Problem with a company's investigation into an existing problem,2024-04,11891,10788.0
Problem with a company's investigation into an existing problem,2024-05,14500,12972.3
Problem with a company's investigation into an existing problem,2024-06,11915,12768.7
Problem with a company's investigation into an existing problem,2024-07,13187,13200.7
Problem with a company's investigation into an existing problem,2024-08,13893,12998.3
Problem with a company's investigation into an existing problem,2024-09,12914,13331.3
Problem with a company's investigation into an existing problem,2024-10,14911,13906.0
Problem with a company's investigation into an existing problem,2024-11,12153,13326.0
Problem with a company's investigation into an existing problem,2024-12,11701,12921.7
Problem with a company's investigation into an existing problem,2025-01,28295,17383.0
Problem with a company's investigation into an existing problem,2025-02,16720,18905.3
Problem with a company's investigation into an existing problem,2025-03,15972,20329.0
Problem with a company's investigation into an existing problem,2025-04,14104,15598.7
Problem with a company's investigation into an existing problem,2025-05,13798,14624.7
Problem with a company's investigation into an existing problem,2025-06,13907,13936.3
Problem with a company's investigation into an existing problem,2025-07,16698,14801.0
Problem with a company's investigation into an existing problem,2025-08,14221,14942.0
Problem with a company's investigation into an existing problem,2025-09,9990,13636.3
Problem with a company's investigation into an existing problem,2025-10,8896,11035.7
