company,product,complaints,relief_rate_pct,product_avg_pct,gap_pct_points
AMERICAN EXPRESS COMPANY,Prepaid card,2443,56.4,19.8,36.7
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,"Money transfer, virtual currency, or money service",315,33.3,3.8,29.6
"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,9373,40.2,12.6,27.6
Atlanticus Services Corporation,Credit card,997,40.2,16.4,23.8
Comerica,Checking or savings account,399,36.1,12.6,23.5
"Bread Financial Holdings, Inc.",Credit card,4356,38.3,16.4,21.9
"BANK OF AMERICA, NATIONAL ASSOCIATION",Credit card,5765,38.2,16.4,21.8
"Coinbase, Inc.","Money transfer, virtual currency, or money service",1838,25.1,3.8,21.4
"Credit Karma, LLC",Checking or savings account,811,31.6,12.6,18.9
"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2008,21.3,3.8,17.5
SYNCHRONY FINANCIAL,"Payday loan, title loan, personal loan, or advance loan",265,19.6,3.5,16.1
"HUNTINGTON NATIONAL BANK, THE",Checking or savings account,1113,28.4,12.6,15.8
"CITIZENS FINANCIAL GROUP, INC.",Checking or savings account,1498,27.5,12.6,14.9
KEYCORP,Checking or savings account,626,26.7,12.6,14.0
"CITIBANK, N.A.",Credit card,11911,30.2,16.4,13.8
"Paypal Holdings, Inc",Debt collection,280,13.6,0.3,13.3
GOLDMAN SACHS BANK USA,Credit card,3570,28.6,16.4,12.2
Comerica,Prepaid card,706,31.6,19.8,11.8
MoneyLion Inc.,"Payday loan, title loan, personal loan, or advance loan",249,15.3,3.5,11.8
"CITIBANK, N.A.","Money transfer, virtual currency, or money service",539,15.4,3.8,11.6
TD BANK US HOLDING COMPANY,Checking or savings account,1633,23.9,12.6,11.2
AMERICAN EXPRESS COMPANY,Checking or savings account,502,23.7,12.6,11.1
"CITIBANK, N.A.",Checking or savings account,5000,23.7,12.6,11.0
NAVY FEDERAL CREDIT UNION,Mortgage,337,12.8,2.0,10.8
"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",8611,14.4,3.8,10.6
